series_id,year,period,value
CES0000000001,2023,M12,157304
CES0000000001,2023,M11,157014
CES0000000001,2023,M10,156832
CES0000000001,2023,M09,156667
CES0000000001,2023,M08,156421
CES0000000001,2023,M07,156211
CES0000000001,2023,M06,156027
CES0000000001,2023,M05,155787
CES0000000001,2023,M04,155484
CES0000000001,2023,M03,155206
CES0000000001,2023,M02,155060
CES0000000001,2023,M01,154773
LNS14000000,2023,M12,3.7
LNS14000000,2023,M11,3.7
LNS14000000,2023,M10,3.8
LNS14000000,2023,M09,3.8
LNS14000000,2023,M08,3.8
LNS14000000,2023,M07,3.5
LNS14000000,2023,M06,3.6
LNS14000000,2023,M05,3.7
LNS14000000,2023,M04,3.4
LNS14000000,2023,M03,3.5
LNS14000000,2023,M02,3.6
LNS14000000,2023,M01,3.4
LNS13000000,2023,M12,6268
LNS13000000,2023,M11,6262
LNS13000000,2023,M10,6443
LNS13000000,2023,M09,6347
LNS13000000,2023,M08,6340
LNS13000000,2023,M07,5904
LNS13000000,2023,M06,5997
LNS13000000,2023,M05,6117
LNS13000000,2023,M04,5715
LNS13000000,2023,M03,5866
LNS13000000,2023,M02,5962
LNS13000000,2023,M01,5719
LNS12000000,2023,M12,161183
LNS12000000,2023,M11,161866
LNS12000000,2023,M10,161280
LNS12000000,2023,M09,161550
LNS12000000,2023,M08,161500
LNS12000000,2023,M07,161209
LNS12000000,2023,M06,161004
LNS12000000,2023,M05,160707
LNS12000000,2023,M04,160962
LNS12000000,2023,M03,160824
LNS12000000,2023,M02,160301
LNS12000000,2023,M01,160152
