series_id,year,period,value
CES0000000001,2020,M12,142518
CES0000000001,2020,M11,142761
CES0000000001,2020,M10,142493
CES0000000001,2020,M09,141820
CES0000000001,2020,M08,140774
CES0000000001,2020,M07,139240
CES0000000001,2020,M06,137655
CES0000000001,2020,M05,133040
CES0000000001,2020,M04,130421
CES0000000001,2020,M03,150898
CES0000000001,2020,M02,152309
CES0000000001,2020,M01,152045
LNS14000000,2020,M12,6.7
LNS14000000,2020,M11,6.7
LNS14000000,2020,M10,6.8
LNS14000000,2020,M09,7.8
LNS14000000,2020,M08,8.4
LNS14000000,2020,M07,10.2
LNS14000000,2020,M06,11.0
LNS14000000,2020,M05,13.2
LNS14000000,2020,M04,14.8
LNS14000000,2020,M03,4.4
LNS14000000,2020,M02,3.5
LNS14000000,2020,M01,3.6
LNS13000000,2020,M12,10772
LNS13000000,2020,M11,10713
LNS13000000,2020,M10,11012
LNS13000000,2020,M09,12573
LNS13000000,2020,M08,13498
LNS13000000,2020,M07,16391
LNS13000000,2020,M06,17658
LNS13000000,2020,M05,20933
LNS13000000,2020,M04,23090
LNS13000000,2020,M03,7209
LNS13000000,2020,M02,5729
LNS13000000,2020,M01,5842
LNS12000000,2020,M12,149989
LNS12000000,2020,M11,149914
LNS12000000,2020,M10,149949
LNS12000000,2020,M09,147674
LNS12000000,2020,M08,147261
LNS12000000,2020,M07,143787
LNS12000000,2020,M06,142345
LNS12000000,2020,M05,137133
LNS12000000,2020,M04,133185
LNS12000000,2020,M03,155371
LNS12000000,2020,M02,158683
LNS12000000,2020,M01,158486
